web-scraper-order,web-scraper-start-url,pages,links,links-href,title,description ,application open date,application closed date
1665479196-1029,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Kate Challis RAKA Award,https://scholarships.unimelb.edu.au/awards/kate-challis-award,Kate Challis RAKA Award,"The Kate Challis RAKA Award supports Indigenous creative artists. In 2022, the award is for the best stage play performed in the last five years.",Applications are currently closed,"Application required
            
How to apply"
1665479199-1030,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Stephen Bell Exhibition,https://scholarships.unimelb.edu.au/awards/stephen-bell-prize,Stephen Bell Exhibition,"This scholarship is awarded to a student who has successfully completed the subject 'Engineering Mathematics' (MAST20029), on the basis of academic merit.",No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665479202-1031,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Nellie Melba Prize,https://scholarships.unimelb.edu.au/awards/nellie-melba-prize,Nellie Melba Prize,"This scholarship is for students enrolled in the second year of a course in the School of Music who achieve the top examination marks, preferably in classical voice.",No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665479205-1032,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Peg Oldfield Prize,https://scholarships.unimelb.edu.au/awards/peg-oldfield-prize,Peg Oldfield Prize,This scholarship is for final-year Bachelor of Music (including honours) students with the best results for performance with a stringed instrument.,No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665479209-1033,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Irene Sutton Award,https://scholarships.unimelb.edu.au/awards/irene-sutton-award,Irene Sutton Award,This award is for graduating Bachelor of Fine Arts students specialising in art.,No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665479212-1034,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Lucy Knapp Bursary,https://scholarships.unimelb.edu.au/awards/lucy-knapp-bursary,Lucy Knapp Bursary,"This bursary was established with a donation from Lucy May Knapp and is offered to students in financial need to assist and educate students by way of bursaries, supplies of books or otherwise.",No application is required. You will be automatically considered for this award.,"Bi-annual payment

        Full benefit details"
1665479214-1035,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,John Chinner Medal,https://scholarships.unimelb.edu.au/awards/john-chinner-medal,John Chinner Medal,"This scholarship is awarded to a Master of Ecosystem Management and Conservation student who has completed study in the discipline of Conserving and Managing Native Forests, based on demonstrated academic merit.",No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665479217-1036,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Harold Cohen Prize,https://scholarships.unimelb.edu.au/awards/harold-cohen-prize,Harold Cohen Prize,This prize celebrates academic excellence in the final year of the Master of Teaching (Secondary).  This prize was established by Brigadier Harold Edward Cohen who attended the University of Melbourne and won the Law and the Bowen Essay prizes in 1900.,No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665479219-1037,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Schiavon Scholarships,https://scholarships.unimelb.edu.au/awards/schiavon-scholarships,Schiavon Scholarships,The Schiavon Scholarships are offered to students in the 150-point or 200-point Master of Journalism and Master of International Journalism programs at the University of Melbourne. The scholarship supports the development of a piece of journalism in any format.,Applications are currently closed,"Application required
            
How to apply"
1665479222-1038,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Robertson Scholarship,https://scholarships.unimelb.edu.au/awards/robertson-scholarship,Robertson Scholarship,This scholarship was established with a donation from Diana Pringle Robertson and is offered to assist physically handicapped students.,No application is required. You will be automatically considered for this award.,"Bi-annual payment

        Full benefit details"
1665479225-1039,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Aitchison Scholarship,https://scholarships.unimelb.edu.au/awards/aitchison-scholarship,Aitchison Scholarship,This scholarship was established with a donation from David Aitchison and is offered to undergraduate students in financial need who have completed not less than one year of a degree course.,No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665479228-1040,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Sophie Ducker Postgraduate Scholarship,https://scholarships.unimelb.edu.au/awards/sophie-ducker-postgraduate-scholarship,Sophie Ducker Postgraduate Scholarship,"This scholarship, worth up to $5000, supports a student enrolled or enrolling in a PhD in botany in the School of BioSciences, undertaking research in Australian flora.",24-Feb-22,28-Mar-22
1665479232-1041,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Dunhill Faculty Biomedicine Scholarship at Queen's College,https://scholarships.unimelb.edu.au/awards/dunhill-faculty-biomedicine,Dunhill Faculty Biomedicine Scholarship at Queen's College,"This entrance scholarship supports a student of Biomedicine who shows academic promise with 15 per cent fee remission at Queen's College, and is based on a legacy from Sir Thomas Dunhill, surgeon to the Queen, in honour of his brother who died in 1907.",21-Aug-20,10-Jan-21
1665479235-1042,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Lois Woodward Scholarship for Indigenous Australians,https://scholarships.unimelb.edu.au/awards/lois-woodward-scholarship,Lois Woodward Scholarship for Indigenous Australians,"This scholarship was established with a donation from Sir Edward Woodward and Lady Lois Woodward and is offered to mature-age, female Indigenous Australian students.",1-Jan-20,8-Mar-20
1665479237-1043,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Dr Robert Neville McCarthy Scholarship,https://scholarships.unimelb.edu.au/awards/dr-robert-neville-mccarthy-scholarship,Dr Robert Neville McCarthy Scholarship,"This scholarship will be awarded by the Faculty of Veterinary & Agricultural Sciences to a student who is enrolling in their final year of the Doctor of Veterinary Medicine program.

The donation memorialises the late Dr Robert Neville McCarthy, BVSc, PhD, veterinary scientist and the son of the donors, who died in 1993.

The scholarship is designed to assist the student in preparing their DVM4 research project. Preference will be given to applicants whose research project is focused on equine health and performance.",1-Jan-23,8-Mar-23
1665479240-1044,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Daniel Murnane (Veterinary Science) Scholarship,https://scholarships.unimelb.edu.au/awards/daniel-murnane-veterinary-science-scholarship,Daniel Murnane (Veterinary Science) Scholarship,"This full fee remission scholarship supports a rural graduate veterinary student to live at Ormond College, and subsequently at Werribee for the full term of their Doctor of Veterinary Medicine course.",1-Sep-22,1-Dec-22
1665479243-1045,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Ormond College JD Scholarship,https://scholarships.unimelb.edu.au/awards/ormond-college-jd-scholarship,Ormond College JD Scholarship,This scholarship is to support a student who is studying the Juris Doctor graduate law degree.,1-Jul-21,30-Nov-21
1665479246-1046,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,E R Love Prize,https://scholarships.unimelb.edu.au/awards/e-r-love-prize,E R Love Prize,"This scholarship is awarded to a third year Mathematics and Statistics Bachelor of Science student, who has undertaken study in a branch of content analysis, on the basis of academic merit.",No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665479249-1047,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Percy Jones Award,https://scholarships.unimelb.edu.au/awards/percy-jones-award,Percy Jones Award,This scholarship is for postgraduate students studying Musicology in the School of Music.,No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665479253-1048,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Esther Rofe Award,https://scholarships.unimelb.edu.au/awards/esther-rofe-award,Esther Rofe Award,This scholarship is for Australian Bachelor of Music students who  show promise in the field of music composition. A preference is to be given to female students.,No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665479256-1049,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,FH Drummond Prize,https://scholarships.unimelb.edu.au/awards/fh-drummond-prize,FH Drummond Prize,"This prize is awarded to a enrolled Bachelor of Science (Honours) or Master of Science student, who is undertaking research in the area of Zoology, within the School of Bioscience.",No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665479260-1050,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Freda Cohen Prize,https://scholarships.unimelb.edu.au/awards/freda-cohen-prize,Freda Cohen Prize,"This prize recognises research excellence in the Master of Education. The Freda Cohen Prize was established by Brigadier Harold Edward Cohen, who presented the University with funds in the 1930s, in honour of his wife, Freda.",No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665479262-1051,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,John Smyth Award,https://scholarships.unimelb.edu.au/awards/john-smyth-award2,John Smyth Award,This award recognises excellence in educational research as part of a Doctor of Education.,No application is required. You will be automatically considered for this award.,"General allowance

        Full benefit details"
1665479265-1052,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Brian Lewis Award,https://scholarships.unimelb.edu.au/awards/brian-lewis-award,Brian Lewis Award,"This award recognises academic excellence in the Master of Construction Management, Project Management specialisation.",No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665479269-1053,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Elizabeth and Nicholas Slezak Scholarship,https://scholarships.unimelb.edu.au/awards/elizabeth-and-nicholas-slezak-scholarship,Elizabeth and Nicholas Slezak Scholarship,This scholarship supports female identifying graduate students of the University to study French literature and/or language in France.,23-May-22,4-Jul-22
1665479272-1054,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Willem Van Otterloo Fund Scholarship,https://scholarships.unimelb.edu.au/awards/willem-van-otterloo-fund-scholarship,Willem Van Otterloo Fund Scholarship,"This scholarship supports VCA graduates studying with distinguished orchestral teachers in Europe– preferably in Holland – before becoming professional orchestra players.
This scholarship is awarded triennially (2022, 2025, 2028 etc).",28-Mar-22,25-Apr-22
1665479275-1055,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Merralls Scholarship,https://scholarships.unimelb.edu.au/awards/merralls-scholarship,Merralls Scholarship,Open to students of Indigenous Australian background about to commence the Melbourne JD and are experiencing disadvantaged circumstances. This scholarship is awarded on the basis of both academic merit and financial need.,No application is required. You will be automatically considered for this award.,"Annual payment

        Full benefit details"
1665479279-1056,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Penny Morris Research Scholarship,https://scholarships.unimelb.edu.au/awards/penny-morris-research-scholarship,Penny Morris Research Scholarship,"The Penny Morris Research Scholarship provides a stipend worth $32,400 a year for 3.5 years to support a PhD candidate who seeks to change the way we design, construct and care for the environmental and aesthetic qualities of new and existing residential developments in regional and outer suburban areas of Australia. .",15-Nov-21,31-Jan-22
1665479282-1057,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Nicholas Grambas Travel Scholarship,https://scholarships.unimelb.edu.au/awards/nicholas-grambas-travel-scholarship,Nicholas Grambas Travel Scholarship,"Established by New York based-Melbourne alumnus Nicholas Grambas (BCom 1984, LLB 1985), and Kate Grambas. It seeks to provide for JD students the opportunity to experience and learn from international study by helping to meet travel and accommodation expenses for international study.",26-Feb-22,6-Mar-22
1665479284-1058,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Sir Arthur Sims Travelling Scholarship,https://scholarships.unimelb.edu.au/awards/sir-arthur-sims-travelling-scholarship,Sir Arthur Sims Travelling Scholarship,"This scholarship was established in 1945 with a donation from Sir Arthur Sims, and is awarded to students who intend to pursue further study or research in subjects Ancient or Modern Languages, History, Philosophy, Physics, Chemistry, Mathematics, and Medicine in Great Britain.",1-Mar-22,31-May-22
1665479288-1059,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Latham Faculty Commerce Scholarship at Queen's College,https://scholarships.unimelb.edu.au/awards/latham-faculty-commerce,Latham Faculty Commerce Scholarship at Queen's College,"This entrance Scholarship supports a Bachelor of Commerce student who shows academic promise with 15 per cent fee remission at Queen's College, and is based on a donation from Mr Graeme Latham, in honour of his father, who was a resident just prior to WW II.",21-Aug-19,30-Nov-19
1665479292-1060,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Bruce Knox prize,https://scholarships.unimelb.edu.au/awards/bruce-knox-prize,Bruce Knox prize,"This scholarship is awarded to a Bachelor of Science Honours or Master of Science student  who is undertaking research  in the discipline of Botany within the School of Bioscience, on the basis of academic merit.",No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665479296-1061,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,John Smyth Award,https://scholarships.unimelb.edu.au/awards/john-smyth-award,John Smyth Award,"This prize celebrates research excellence in the Doctor of Education.  This prize is named in honour of John Smyth, Principal of the Training College in Victoria (which subsequently became the Melbourne Teachers’ College) from 1902 to 1927 and the first Professorial Chair of Education at the University from 1919 until his death in 1927. 
 John Smyth was a respected figure in education in Victoria who valued scholarship, and who recognised the benefits to both the individual and the community from the advanced study of education.",No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665479299-1062,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,John Bayly Award,https://scholarships.unimelb.edu.au/awards/john-bayly-award,John Bayly Award,This award recognizes outstanding achievement in Urban Planning history.,No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665479301-1063,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Nicola Andrews Scholarship,https://scholarships.unimelb.edu.au/awards/nicola-andrews-scholarship,Nicola Andrews Scholarship,This scholarship supports talented women who are passionate about making a difference in the field of biomedical engineering.,5-Mar-21,23-Mar-21
1665479305-1064,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Humanities/Arts Scholarship at Queen's College,https://scholarships.unimelb.edu.au/awards/humanitiesarts-scholarship,Humanities/Arts Scholarship at Queen's College,"This scholarship, worth up to $5940 in college fee remission, supports a student wishing to reside in Queen's College while studying in the Graduate School of Humanities and Social Sciences at the University of Melbourne. Preference will be given to students studying Modern languages. It is funded from the Caldwell Trust, in honour of William Douglas Craig Caldwell.",21-Aug-19,30-Nov-19
1665479308-1065,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Gilbert Rigg Scholarship,https://scholarships.unimelb.edu.au/awards/gilbert-rigg-scholarship,Gilbert Rigg Scholarship,"This scholarship, worth up to $90,000, is open to students who are undertaking research in a field related to Mining and Metallurgy in the Melboune School of Engineering.",2-Mar-20,15-May-20
1665479311-1066,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Kilmany Scholarship,https://scholarships.unimelb.edu.au/awards/kilmany-scholarship,Kilmany Scholarship,The Kilmany Scholarship is for PhD candidates in the Doctoral Program in Economics to undertake research in the area of Economics or Econometrics.,No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665479314-1067,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Gilbrak Scholarship,https://scholarships.unimelb.edu.au/awards/gilbrak-scholarship,Gilbrak Scholarship,Open to domestic students of Indigenous Australian descent undertaking the Juris Doctor and experiencing disadvantaged circumstances.,No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665479317-1068,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Norman Curry Prize,https://scholarships.unimelb.edu.au/awards/norman-curry-award,Norman Curry Prize,"This award, worth approximately $4,500, supports a second-year student in the Master of Teaching (Secondary) who demonstrated outstanding teaching practice in the first year of their course.",No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665479321-1069,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,David Lachlan Hay Thesis Binding Award,https://scholarships.unimelb.edu.au/awards/david-lachlan-hay-thesis-binding-award,David Lachlan Hay Thesis Binding Award,This award is for by Master of Philosophy and Doctor of Philosophy students from schools within the Faculty of Science who are not holders of RTP or MRS awards and are not entitled to any other financial benefit that is specifically designated to assist with thesis binding costs.,1-Jan-22,31-Dec-22
1665479324-1070,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Rosemary and Chris Lester Award,https://scholarships.unimelb.edu.au/awards/rosemary-and-chris-lester-award,Rosemary and Chris Lester Award,"This scholarship, based on academic merit, provides $2500 for domestic students to spend on sustainability using knowledge gained in the University's Graduate Environmental Program.",1-Oct-21,6-Mar-22
1665479328-1071,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,W.E.J Craig Travelling Scholarship,https://scholarships.unimelb.edu.au/awards/w.e.j-craig-travelling-scholarship,W.E.J Craig Travelling Scholarship,"This scholarship was established by an anonymous donor, and is awarded to students undertaking research in the area of animal husbandry at an overseas institution, with a preference for Queen's University Belfast.",1-Mar-22,31-May-22
1665479332-1072,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Faculty of Arts 110 Scholarship,https://scholarships.unimelb.edu.au/awards/faculty-of-arts-110-scholarship,Faculty of Arts 110 Scholarship,"The Faculty of Arts 110 Scholarship commemorates 110 years of the Faculty by supporting students in financial need and ensuring that an Arts degree continues to be accessible to all students, no matter their background.",4-Jan-22,7-Mar-22
1665479335-1073,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Separovic Family Travel Scholarships,https://scholarships.unimelb.edu.au/awards/separovic-family-travel-scholarships,Separovic Family Travel Scholarships,This scholarship supports support PhD students in Science who are undertaking travel as part of their research project.,24-Jan-22,3-Apr-22
1665479337-1074,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Dorcas McClean Scholarship,https://scholarships.unimelb.edu.au/awards/dorcas-mcclean-scholarship,Dorcas McClean Scholarship,"This scholarship, worth up to $40,000, supports candidates for admission to an approved institution.  Applicants must be between 17 and 25 years of age and residents of Australia in the two years preceding the competition date. Assessment is by competition (for shortlisted applicants only), held across a number of days at the Southbank Campus.
This is a triennial competition and will next take place in early 2022 (postponed from 2021).  The 2022 competition will be filmed and broadcast. The competition will comprise a preliminary round (assessed by this online application on the basis of video submission), a semi-final round where up to 6 semi-finalists will be selected to present recitals in February, 2022, and, a final round where finalists will present one complete concerto by Mozart on 13 February, 2022. There will be a first prize of $40,000, second prize of $10,000 and third prize of $5,000.",10-Apr-21,15-Jul-21
1665479341-1075,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Dr Phillip Law Travel Scholarship (Dance),https://scholarships.unimelb.edu.au/awards/dr-phillip-law-travel-scholarship-dance,Dr Phillip Law Travel Scholarship (Dance),This scholarship supports students in the discipline of Dance in travelling overseas to enhance their knowledge and competency in dance.,27-Jun-22,14-Aug-22
1665479345-1076,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Graham Corr Award,https://scholarships.unimelb.edu.au/awards/graham-corr-award,Graham Corr Award,This award supports second-year students in the Master of Teaching (Primary) who demonstrate outstanding teaching practice.,No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665479348-1077,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Ian Malkin Internship Scholarship,https://scholarships.unimelb.edu.au/awards/ian-malkin-internship-scholarship,Ian Malkin Internship Scholarship,"Established with a generous gift from Professor Ian Malkin, this scholarship supports Melbourne JD students who wish to participate in internships with not-for-profit organisations or government organisations.",26-Feb-22,6-Mar-22
1665479352-1078,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Anna Lodewyckx Scandinavian Scholarships,https://scholarships.unimelb.edu.au/awards/anna-lodewyckx-scandinavian-scholarships,Anna Lodewyckx Scandinavian Scholarships,"This scholarship promotes the advanced study of Old Norse and Modern Icelandic languages or is to encourage study and research in Scandinavian countries. For the purposes of this scholarship, a Scandinavian country is Iceland, Norway, Sweden, Denmark, Finland or the Faroe Islands.",2-May-22,13-Jun-22
1665479354-1079,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Kerry Landman Scholarship,https://scholarships.unimelb.edu.au/awards/kerry-landman-scholarship,Kerry Landman Scholarship,"NOTE: this scholarship is next available in 2024.  The Kerry Landman Scholarship supports high-achieving mathematics graduates that demonstrate a passion for education and wish to train as mathematics teachers.  This scholarship is valued at up to $60,000 in total and students with a mathematics major who are enrolling in a Master of Teaching (Secondary) at the Melbourne Graduate School of Education are encouraged to apply. The scholarship aims to address the shortage of mathematically trained teachers who can passionately communicate the beauty and applications of mathematics to encourage, inspire and empower students to succeed.  A successful candidate will have the potential to become a leader in mathematics education.",1-Oct-23,7-Dec-23
1665479357-1080,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,The Professor Colin Ferguson KPMG Scholarship,https://scholarships.unimelb.edu.au/awards/professor-colin-ferguson-kpmg-scholarship,The Professor Colin Ferguson KPMG Scholarship,"The Professor Colin Ferguson KPMG Scholarship was established in conjunction with KPMG and in memory of Professor Colin Ferguson.

The scholarship is open to full-time students commencing their second year in the Bachelor of Commerce in Semester 1 2023, who intend to major in Accounting, who are from an Australian rural area, and who can demonstrate leadership, prior work experience and/or academic merit.",7-Oct-22,9-Dec-22
1665479359-1081,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Alan C Rose Memorial Trust Scholarship,https://scholarships.unimelb.edu.au/awards/alan-c-rose-memorial-trust-scholarship,Alan C Rose Memorial Trust Scholarship,"This scholarship, worth up to $10,000, funds a musical project which may be an individual or group project, and should provide some benefit to the Australian community, displaying innovation and community impact.  For 2022 there will be a two-staged application process.  Stage one asks for an Expression of Interest (this form).  Here, you present your idea with a brief outline of its components and execution. Candidates chosen from Stage one will then be invited to an interview and present a detailed proposal and budget.",14-Feb-22,15-Aug-22
1665479362-1082,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Allan Scholarship,https://scholarships.unimelb.edu.au/awards/allan-scholarship,Allan Scholarship,"This scholarship is for Bachelor of Music students majoring in piano, whose permanent home is within 80 kilometres of the Victorian township of Horsham.",No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665479365-1083,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Art150 Fellowship,https://scholarships.unimelb.edu.au/awards/art150-fellowship,Art150 Fellowship,"This scholarship offers a $10,000 fellowship for a graduating Master of Visual Art student at the Faculty of Fine Arts and Music.",No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665479367-1084,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Exhibition Prize in 3rd Year Botany,https://scholarships.unimelb.edu.au/awards/exhibition-botany,Exhibition Prize in 3rd Year Botany,This prize is awarded based on the highest results in third year Botany subjects.,No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665479370-1085,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Kummarge Project Dance Travel Award,https://scholarships.unimelb.edu.au/awards/kummarge-project-dance-travel-award,Kummarge Project Dance Travel Award,"This Award is open to 2nd or 3rd year Aboriginal or Torres Strait Islander students of Dance at the VCA, for travel to their ancestral country and connect with land, culture, identity and familial connections, strengthening and reclaiming cultural identity and inheritance.",28-Mar-22,28-May-22
1665479373-1086,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Yenching Scholars Program in China Studies,https://scholarships.unimelb.edu.au/awards/yenching-scholars-program-in-china-studies,Yenching Scholars Program in China Studies,"The Yenching Academy of Peking University offers a scholarship to pursue an interdisciplinary Master’s degree in China Studies. 

The subjects that can be studied will range across the humanities and social sciences as they pertain to China, as well as international relations, law and business management.",15-Aug-22,8-Nov-22
1665479375-1087,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Engineering Scholarship at Queen's College,https://scholarships.unimelb.edu.au/awards/engineering-scholarship,Engineering Scholarship at Queen's College,"This scholarship, worth up to $5940, supports a student wishing to reside in Queen's College while studying in the Graduate School of Engineering at the University of Melbourne.",21-Aug-19,30-Nov-19
1665479379-1088,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Dinny O'Hearn Fellowships,https://scholarships.unimelb.edu.au/awards/dinny-ohearn-fellowships,Dinny O'Hearn Fellowships,"This fellowship, awarded not less frequently than once every three years, offers up to $5,000 to a young Australian writer of fiction, poetry or drama.",28-Jun-21,23-Aug-21
1665479383-1089,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Wendy Stops Scholarship,https://scholarships.unimelb.edu.au/awards/wendy-stops-scholarship,Wendy Stops Scholarship,Wendy Stops established this scholarship to support a female undergraduate domestic student who intends to undertake a graduate pathway in a technology-related discipline.,5-Mar-21,23-Mar-21
1665479385-1090,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Schubert Bursary,https://scholarships.unimelb.edu.au/awards/schubert-bursary,Schubert Bursary,This scholarship is for graduate and undergraduate music students in the  faculty of Fine Arts and Music.,No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665479388-1091,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,Bebbington Prize,https://scholarships.unimelb.edu.au/awards/bebbington-prize,Bebbington Prize,"This scholarship is for students who demonstrate excellence in a wind instrument, based on examination results.",No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
1665479391-1092,https://scholarships.unimelb.edu.au/?query=!padrenullx&sort=dmetadetailNumberAwarded&start_rank=1,,KMTF Scholarship,https://scholarships.unimelb.edu.au/awards/kmtf-scholarship,KMTF Scholarship,To provide scholarships for enrolling graduate domestic students who intend to undertake the Master of Fine Art (Visual Art) and are experiencing disadvantaged circumstances. Preference is given to students who are high achieving and/or are the first in their family to attend university.,No application is required. You will be automatically considered for this award.,"Single payment

        Full benefit details"
